"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"205081_at",8.81504490532165,0.368124598499901,0.106460508174245,3.45785122401809,0.000544501984448712,0.0316533941225097
"205143_at",2.48961219120711,-0.833398737744174,0.208502666353107,-3.99706513264814,6.41326595035024e-05,0.00550803766197843
"205150_s_at",6.49991928069999,0.676827818467052,0.121980185814107,5.54867017089573,2.8785062732697e-08,6.67373213262658e-06
"205151_s_at",6.13924251748123,0.65555286871307,0.12491150181762,5.24813855548888,1.53643728044328e-07,2.82977284913044e-05
"205161_s_at",5.04089160586465,0.619219108827983,0.140266056291188,4.4146041116498,1.01195006377909e-05,0.00115608695112432
"205229_s_at",3.50880544435741,-1.07038505716889,0.17821823457379,-6.00603557615032,1.90114492990139e-09,5.50968575493629e-07
"205239_at",6.83720964255491,0.51857490213163,0.133139774187663,3.89496606326437,9.82124794529458e-05,0.00785181879342476
"205306_x_at",4.49492207075202,0.868521210146814,0.137782174379745,6.30358182440248,2.90844552892482e-10,9.96812800669939e-08
"205307_s_at",3.46364734294386,0.863936352363577,0.162537801965542,5.31529491549746,1.0648472083098e-07,2.10903959137299e-05
"205334_at",5.92492414369641,-0.51489167647112,0.128040154839062,-4.02132969237895,5.78705408704241e-05,0.00506868777303754
"205336_at",3.08103560895148,0.864282314089014,0.210458356251871,4.10666665596619,4.0140987160247e-05,0.00374909210410894
"205350_at",4.07810001079907,-1.17143982605395,0.166140861467069,-7.05088330293836,1.77785554024922e-12,8.75904978292285e-10
"205363_at",4.52242359847057,-0.620236686890672,0.150668835201313,-4.11655592918042,3.84576037828129e-05,0.00362536496190014
"205364_at",5.10322173158609,1.00817270992321,0.143723493972849,7.01466880643512,2.30494288637016e-12,1.0815121300404e-09
"205366_s_at",4.00996989609396,0.708257499448381,0.160771076240954,4.40537885301513,1.0559915614195e-05,0.00119944816719851
"205376_at",5.86840786973701,0.75897562702068,0.137437773469283,5.52232190512248,3.34548836221496e-08,7.66622548304305e-06
"205428_s_at",5.3951494441763,-0.492375050516325,0.133639717432176,-3.68434668957012,0.000229289982648567,0.0159274803764684
"205440_s_at",3.8640126006759,-0.709387284970176,0.199904240338174,-3.54863550553064,0.000387232698666283,0.0241506553655937
"205471_s_at",4.99041180726617,0.691725584316463,0.1542864180866,4.48338611327539,7.34678201700004e-06,0.000882528964031464
"205475_at",4.24715683941672,-0.781754396739964,0.157084704380107,-4.97664237791292,6.46966927286712e-07,0.000106692696535893
"205476_at",4.22404700469033,-0.513211990225036,0.148940424349911,-3.44575351161434,0.000569469536637547,0.0324395665906763
"205487_s_at",4.30840578692125,-0.570302925390846,0.150106032804367,-3.79933380914891,0.000145085565341427,0.0109338479395163
"205489_at",2.86127999931307,0.960487143649549,0.173990868209877,5.52033077098597,3.3836212227101e-08,7.70878883652577e-06
"205528_s_at",4.44409287116561,0.54787552029805,0.149878951260663,3.65545338881649,0.000256727852697569,0.0173860336533024
"205529_s_at",5.61567481676795,0.513793544950364,0.134032567726822,3.83334851867906,0.000126410656559602,0.00969328719385247
"205543_at",4.46043784667399,-0.634849096180208,0.152820629945126,-4.1542107005328,3.26412299446305e-05,0.00317659614083375
"205549_at",4.24105378372553,-0.52437681051252,0.152635667634344,-3.43548017733787,0.000591504734626433,0.0332575857497379
"205569_at",7.34998105744925,-0.369118422185283,0.110687577391557,-3.33477731543015,0.000853677323512853,0.0446837158418799
"205593_s_at",5.51335300703696,-0.453828783507853,0.131854585412868,-3.44188851746647,0.0005776682666324,0.0328545700736644
"205595_at",2.60760630975322,-1.56101227441818,0.260781398299089,-5.98590346013815,2.15191984188066e-09,6.10185385956001e-07
"205597_at",5.84107447327132,0.887591232980092,0.138252884485976,6.42005580050031,1.36224402372739e-10,4.97143388436955e-08
"205608_s_at",2.90038367102287,-0.642945977862987,0.188051455706368,-3.41898963476737,0.000628541207097706,0.035089692827973
"205609_at",3.91397891193461,-0.561999947956701,0.164353847104286,-3.41945112851603,0.00062747602769175,0.035079915114103
"205613_at",6.05981322380308,0.459564982054889,0.13503108301243,3.40340143767183,0.000665524199768588,0.0369450293094072
"205624_at",4.47263227959144,0.855025483781455,0.169694315752499,5.03862183002358,4.68895912233363e-07,7.86428233394288e-05
"205632_s_at",2.86135346718176,0.609914694354894,0.173310916778621,3.51919374550403,0.000432860471978664,0.0262473271424108
"205671_s_at",3.40785049701105,-0.794733595172257,0.167438897776789,-4.7464096200138,2.07059181330628e-06,0.00030226039159131
"205680_at",2.76554884294688,0.725438782069008,0.194370944112968,3.73223881470362,0.000189785440873108,0.0137153912808799
"205683_x_at",6.08909783798031,0.489994145767671,0.134086867192535,3.65430378102644,0.000257880794429171,0.0174341571726095
"205776_at",4.20734928371055,0.702397268494524,0.15693131423047,4.47582607676999,7.61164303994802e-06,0.00090363041800154
"205780_at",7.27085104888453,0.491518823337434,0.115428719297779,4.25820217297421,2.06077536963955e-05,0.0021151927192441
"205819_at",3.87491917176244,-0.701192702109126,0.152089358206882,-4.61039950708001,4.01895881441816e-06,0.000533344251553796
"205830_at",5.04616878327797,0.502949648853347,0.147904886056096,3.40049380561094,0.000672642598948432,0.0372353025210021
"205861_at",2.92874228022338,-0.704326716925361,0.189280254001335,-3.72107867585803,0.000198373617993133,0.0142417081595289
"205879_x_at",3.39064934902207,0.710431752035929,0.179835153914363,3.95046094477297,7.80008257552865e-05,0.00639152712332404
"205926_at",5.67674657569292,-0.458489375318894,0.130445504518542,-3.51479628992291,0.000440091434862344,0.0266039322295467
"205979_at",3.37416851130689,0.998097158231876,0.235844627043822,4.2320114337242,2.3161063151853e-05,0.00234670987934996
"206032_at",4.39266541478316,-0.584573295123536,0.155255444121003,-3.76523540564497,0.000166392243434322,0.0123274133133842
"206033_s_at",3.90289470879327,-0.818617626764958,0.178829940342725,-4.57763182829502,4.70269428727655e-06,0.000607711451274485
"206043_s_at",4.99018160879826,0.609984909766534,0.135814070854648,4.49132336530401,7.07819893864452e-06,0.000853150253723961
"206157_at",5.72160767035302,-0.881163765119557,0.138580061059037,-6.35851765676573,2.03709972720925e-10,7.16877220073443e-08
"206164_at",4.17920781261994,1.21368280953085,0.148856224361971,8.15338972040265,3.53862943629501e-16,2.90565709587774e-13
"206165_s_at",3.47540211544401,2.09058030601978,0.223373426485747,9.35912717510817,8.0398084978436e-21,1.32033755055837e-17
"206166_s_at",3.75116795389848,1.49063447047451,0.163944373694883,9.09231855219823,9.69491635652683e-20,1.23263042992306e-16
"206191_at",2.41630335682605,0.814782973755356,0.219721338728223,3.7082560049535,0.000208691614975848,0.0148204888516362
"206197_at",3.54282431330059,0.643169968681731,0.186299034298164,3.45235267109524,0.000555720862770769,0.0320233819039394
"206224_at",5.26109914216775,0.618267150617925,0.14142012928818,4.37184687731438,1.23199920630684e-05,0.00137558121012402
"206227_at",8.28602767894523,0.390893799401,0.113408894442198,3.44676492371796,0.000567342009006285,0.0324075622361938
"206276_at",2.92255993224816,-1.06231466155696,0.199323085212436,-5.32961177289003,9.84229319884743e-08,2.00996965875323e-05
"206373_at",4.38742997816962,-1.14834805194691,0.156885536759911,-7.31965530834289,2.48608702835779e-13,1.39980905908134e-10
"206378_at",5.7340121197072,1.90635981836491,0.236622874251793,8.05653225366676,7.8489291636543e-16,6.06583713835825e-13
"206453_s_at",7.86812418379639,-0.391577396595765,0.113186471988102,-3.45957771911936,0.000541023120494873,0.0314976148761964
"206463_s_at",4.19612688167778,1.13420770566604,0.190789014457659,5.9448271111949,2.76748793253832e-09,7.6278160400745e-07
"206482_at",5.75598529586601,0.462399718854158,0.129765986390073,3.56333529083805,0.000366172486489154,0.0229814050676489
"206509_at",7.12517054800507,1.75519025239704,0.145915159104041,12.0288410277205,2.50654582872936e-33,3.29309990978463e-29
"206560_s_at",4.60142811536404,-1.14452059423638,0.156180678333261,-7.32818301502177,2.33293993080767e-13,1.3326158613457e-10
"206561_s_at",2.995818203515,1.10895723826238,0.180623119485746,6.13961956486915,8.27193435189208e-10,2.54710953551152e-07
"206714_at",4.00993549371344,0.95292214952186,0.160414448064678,5.94037607596075,2.84368954827405e-09,7.72973654177059e-07
